Julian_Day, SANSA_foF2, Measured_foF2, ICEPAC_foF2, Kp, F10, Dst
202107015,6.047589438834742,6.85,5.36923076923077,0.7,74.6,6.0
202107016,5.705123891637257,5.8,4.476923076923077,0.7,74.6,8.0
202107017,4.100943170554294,5.4,3.707692307692308,0.7,74.6,10.0
202107018,4.01214543310608,5.6,3.1538461538461533,1.0,74.6,13.0
202107019,3.468835429657437,4.8,2.876923076923077,1.0,74.6,18.0
202107020,3.4636855718048425,3.55,2.830769230769231,1.0,74.6,17.0
202107021,3.0941459603722103,3.3,2.9076923076923076,2.7,74.6,14.0
202107022,3.1919932595714915,3.1,2.976923076923077,2.7,74.6,10.0
202107023,2.903601219826241,3.15,2.976923076923077,2.7,74.6,9.0
202107100,3.3076579624135958,3.3,2.853846153846154,2.3,74.7,11.0
202107101,2.920900876365919,3.15,2.9,2.3,74.7,11.0
202107102,3.085917233079594,3.2,3.1538461538461533,2.3,74.7,11.0
202107103,2.8487062203036864,3.2,3.7307692307692304,2.3,74.7,9.0
202107104,4.0012423367257615,3.15,4.623076923076923,2.3,74.7,4.0
202107105,5.109945983395768,3.55,5.715384615384615,2.3,74.7,-2.0
202107106,5.512173352885351,4.8,6.815384615384615,3.3,74.7,-14.0
202107107,5.746805985087607,5.45,7.730769230769231,3.3,74.7,-17.0
202107108,6.033006228762888,5.85,8.330769230769231,3.3,74.7,-15.0
202107109,7.133528155979501,6.7,8.569230769230769,2.0,74.7,-14.0
202107110,7.21861471490999,7.8,8.49230769230769,2.0,74.7,-13.0
202107111,6.965933418692177,nan,8.161538461538461,2.0,74.7,-7.0
202107112,6.858088012331264,nan,7.653846153846153,1.7,74.7,-6.0
202107113,6.747217647664263,nan,6.999999999999999,1.7,74.7,-9.0
202107114,6.713698700206798,7.1,6.207692307692308,1.7,74.7,-8.0
202107115,6.053633273352097,6.9,5.3307692307692305,2.7,74.7,-8.0
202107116,5.710708657056491,5.75,4.446153846153846,2.7,74.7,-6.0
202107117,4.104377559671808,5.35,3.6615384615384614,2.7,74.7,-6.0
202107118,3.8207556965701786,5.05,3.092307692307692,3.3,74.7,-7.0
202107119,3.276717395529781,5.2,2.792307692307692,3.3,74.7,-11.0
202107120,3.271560634382479,4.35,2.723076923076923,3.3,74.7,-14.0
202107121,3.096230755374199,4.25,2.7846153846153845,2.7,74.7,-17.0
202107122,3.1942092171729435,3.85,2.8615384615384616,2.7,74.7,-19.0
202107123,2.905430592924011,3.5,2.876923076923077,2.7,74.7,-23.0
202107200,4.0925392304464925,3.2,2.838461538461538,3.0,75.0,-13.0
202107201,3.704228903089388,3.2,2.8846153846153846,3.0,75.0,-1.0
202107202,3.869907976095085,3.1,3.146153846153846,3.0,75.0,5.0
202107203,2.8539665308716167,3.35,3.7230769230769227,4.3,75.0,-9.0
202107204,4.0111313063957885,3.3,4.615384615384615,4.3,75.0,-20.0
202107205,5.124287578152823,3.8,5.707692307692308,4.3,75.0,-23.0
202107206,5.528130318604212,5.05,6.8076923076923075,2.7,75.0,-8.0
202107207,5.763705250534189,6.2,7.723076923076922,2.7,75.0,-7.0
202107208,6.0510548927784455,5.6,8.323076923076924,2.7,75.0,-13.0
202107209,6.76554589511552,7.0,8.553846153846154,2.7,75.0,-5.0
202107210,6.8509741671340825,nan,8.476923076923077,2.7,75.0,1.0
202107211,6.597278086594107,nan,8.153846153846153,2.7,75.0,3.0
202107212,6.879450257806935,nan,7.646153846153846,1.7,75.0,2.0
202107213,6.768134630631232,7.4,6.984615384615385,1.7,75.0,1.0
202107214,6.73448106892695,6.9,6.2,1.7,75.0,-1.0
202107215,6.071764776904157,7.0,5.323076923076923,2.7,75.0,-3.0
202107216,5.727462953314192,6.65,4.438461538461538,2.7,75.0,-7.0
202107217,4.11468072702435,6.1,3.6538461538461537,2.7,75.0,-8.0
202107218,3.8299198202958067,5.45,3.0846153846153843,3.7,75.0,-14.0
202107219,3.283696626480146,4.65,2.776923076923077,3.7,75.0,-11.0
202107220,3.278519155448718,3.6,2.7076923076923074,3.7,75.0,-14.0
202107221,3.102485140380163,3.35,2.769230769230769,3.3,75.0,-15.0
202107222,3.200857089977297,3.4,2.8461538461538463,3.3,75.0,-10.0
202107223,2.9109187122173257,3.5,2.8615384615384616,3.3,75.0,-9.0
202107300,3.295818811988396,3.6,2.7384615384615385,3.7,74.2,-10.0
202107301,2.911650461456434,3.4,2.8076923076923075,3.7,74.2,-23.0
202107302,3.0755622910167375,3.2,3.0846153846153843,3.7,74.2,-26.0
202107303,3.0136764097611746,3.25,3.6615384615384614,5.0,74.2,-29.0
202107304,4.094089176678566,2.7,4.546153846153846,5.0,74.2,-35.0
202107305,4.945686528268358,3.2,5.630769230769231,5.0,74.2,-30.0
202107306,4.979360187844161,5.1,6.723076923076923,4.3,74.2,-29.0
202107307,5.1544632176383445,5.1,7.63076923076923,4.3,74.2,-42.0
202107308,5.3680504298048755,5.75,8.215384615384615,4.3,74.2,-43.0
202107309,6.483488102800058,5.8,8.446153846153846,3.0,74.2,-33.0
202107310,6.546987003714433,6.85,8.353846153846153,3.0,74.2,-27.0
202107311,6.358414510089928,7.1,8.03076923076923,3.0,74.2,-21.0
202107312,6.2759753258908315,7.2,7.53076923076923,2.0,74.2,-13.0
202107313,6.193234333790284,7.5,6.892307692307693,2.0,74.2,-9.0
202107314,6.168219615248258,7.05,6.13076923076923,2.0,74.2,-11.0
202107315,5.383444102753814,6.1,5.276923076923077,3.3,74.2,-15.0
202107316,5.127524289977702,5.6,4.392307692307692,3.3,74.2,-18.0
202107317,3.928742009079066,5.85,3.5999999999999996,3.3,74.2,-17.0
202107318,3.7170790060311534,5.5,3.0076923076923077,3.3,74.2,-19.0
202107319,3.311070882002884,4.55,2.669230769230769,3.3,74.2,-25.0
202107320,3.3072224637656484,3.7,2.569230769230769,3.3,74.2,-32.0
202107321,3.7607321999564487,3.15,2.6153846153846154,4.0,74.2,-34.0
202107322,3.833852146463909,3.4,2.692307692307692,4.0,74.2,-31.0
202107323,3.6183407251787623,3.55,2.7307692307692304,4.0,74.2,-19.0
202107400,3.314592547748277,3.55,2.8846153846153846,2.7,73.1,-15.0
202107401,3.0302400816345347,3.5,2.923076923076923,2.7,73.1,-16.0
202107402,3.1515638005097317,3.45,3.1769230769230767,2.7,73.1,-15.0
202107403,2.9298770500893,3.5,3.753846153846154,2.3,73.1,-16.0
202107404,3.9031828774111634,2.95,4.646153846153846,2.3,73.1,-16.0
202107405,5.033457478024803,3.35,5.7384615384615385,2.3,73.1,-13.0
202107406,5.427069535718091,4.15,6.846153846153846,1.3,73.1,-14.0
202107407,5.656676569372507,4.1,7.7615384615384615,1.3,73.1,-16.0
202107408,5.936746687346577,5.05,8.36923076923077,1.3,73.1,-13.0
202107409,6.633137250957778,4.4,8.607692307692307,1.7,73.1,-12.0
